Date,High,Low,Open,Close,Volume,Adj Close
12/30/27,17.65999985,17.65999985,17.65999985,17.65999985,0,17.65999985
1/3/28,17.76000023,17.76000023,17.76000023,17.76000023,0,17.76000023
1/4/28,17.71999931,17.71999931,17.71999931,17.71999931,0,17.71999931
1/5/28,17.54999924,17.54999924,17.54999924,17.54999924,0,17.54999924
1/6/28,17.65999985,17.65999985,17.65999985,17.65999985,0,17.65999985
1/9/28,17.5,17.5,17.5,17.5,0,17.5
1/10/28,17.37000084,17.37000084,17.37000084,17.37000084,0,17.37000084
1/11/28,17.35000038,17.35000038,17.35000038,17.35000038,0,17.35000038
1/12/28,17.46999931,17.46999931,17.46999931,17.46999931,0,17.46999931
1/13/28,17.57999992,17.57999992,17.57999992,17.57999992,0,17.57999992
1/16/28,17.29000092,17.29000092,17.29000092,17.29000092,0,17.29000092
1/17/28,17.29999924,17.29999924,17.29999924,17.29999924,0,17.29999924
1/18/28,17.26000023,17.26000023,17.26000023,17.26000023,0,17.26000023
1/19/28,17.37999916,17.37999916,17.37999916,17.37999916,0,17.37999916
1/20/28,17.47999954,17.47999954,17.47999954,17.47999954,0,17.47999954
1/23/28,17.63999939,17.63999939,17.63999939,17.63999939,0,17.63999939
1/24/28,17.70999908,17.70999908,17.70999908,17.70999908,0,17.70999908
1/25/28,17.52000046,17.52000046,17.52000046,17.52000046,0,17.52000046
1/26/28,17.62999916,17.62999916,17.62999916,17.62999916,0,17.62999916
1/27/28,17.69000053,17.69000053,17.69000053,17.69000053,0,17.69000053
1/30/28,17.48999977,17.48999977,17.48999977,17.48999977,0,17.48999977
1/31/28,17.56999969,17.56999969,17.56999969,17.56999969,0,17.56999969
2/1/28,17.53000069,17.53000069,17.53000069,17.53000069,0,17.53000069
2/2/28,17.62999916,17.62999916,17.62999916,17.62999916,0,17.62999916
2/3/28,17.39999962,17.39999962,17.39999962,17.39999962,0,17.39999962
2/6/28,17.45000076,17.45000076,17.45000076,17.45000076,0,17.45000076
2/7/28,17.44000053,17.44000053,17.44000053,17.44000053,0,17.44000053
2/8/28,17.48999977,17.48999977,17.48999977,17.48999977,0,17.48999977
2/9/28,17.54999924,17.54999924,17.54999924,17.54999924,0,17.54999924
2/10/28,17.54000092,17.54000092,17.54000092,17.54000092,0,17.54000092
