,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,positive_rate,stringency_index,cci,cci_cur,cci_exp,umsent,umsent_cur,umsent_exp,ism_man,ism_non,cci_lag1,cci_lag2,cci_lag3,cci_lag4,cci_lag5,total_cases_lag1,total_cases_lag2,total_deaths_lag1,total_deaths_lag2
total_cases,1.0,0.7319180057292504,0.6751183563510765,0.9831899847062713,0.6464234135962553,0.6334336990201396,0.5958167184718732,0.09441280391551,0.15277514621395877,-0.03522705200545753,-0.3296546418721559,-0.3871456532171249,-0.2697060318879692,0.253471119724226,0.28073409571292507,0.09841648970077542,0.10065617776477831,0.09942709006345515,0.0988218812514453,0.09975274324913323,0.9956098280418109,0.9878932650839247,0.9856988134013931,0.9863821115538537
new_cases,0.7319180057292504,1.0,0.9162668035318822,0.7600643987670921,0.8579416702276979,0.8297080555297812,0.700116873361476,0.04561839168875681,0.07455808285841574,-0.018546015329534905,-0.27964406603018277,-0.3281609225360366,-0.2289210316871915,0.24468815868040247,0.2379396254448863,0.0602259825383947,0.08014536009711952,0.08431667068136946,0.08138299536267263,0.08959963120453893,0.6782649410974388,0.6670496068659606,0.7422657518515072,0.7366262430540861
new_cases_smoothed,0.6751183563510765,0.9162668035318822,1.0,0.6989593363612828,0.7481105387795149,0.8567264341840919,0.6297705433489924,0.04580672021040724,0.07055683777804372,-0.010404155452165845,-0.24890004568936672,-0.2920729011033382,-0.20372163265815485,0.22984266972490308,0.2082484274189536,0.05957565456257695,0.07244812145219497,0.07312428326880333,0.07069667165132607,0.07762537903187805,0.6130952985571145,0.597710931102078,0.6803475540633941,0.6733573009677233
total_deaths,0.9831899847062713,0.7600643987670921,0.6989593363612828,1.0,0.6983369310421266,0.6799863966166283,0.6997504742142981,0.1041968913601614,0.15159039567795712,-0.006538881969896894,-0.32688336068291474,-0.39010585125312525,-0.26285277820895064,0.2891697256543608,0.32544826762527657,0.10487062524789113,0.10402567507437302,0.10221213436277633,0.10201686589006363,0.10321094766586128,0.9776828371760892,0.9694856656912016,0.9986473646765492,0.9951804232087917
new_deaths,0.6464234135962553,0.8579416702276979,0.7481105387795149,0.6983369310421266,1.0,0.7808093260201336,0.8421787382096899,0.04140361444976767,0.04226225024289965,0.03140338381405991,-0.26299876406576256,-0.3160106480095119,-0.21000072169898293,0.22323258146757985,0.20016881374813705,0.04865320181736522,0.08288874311578781,0.10222937960488757,0.09990983434729764,0.10343765772337468,0.5970310758196626,0.5599520020632721,0.668049926643859,0.6487329785725747
positive_rate,0.6334336990201396,0.8297080555297812,0.8567264341840919,0.6799863966166283,0.7808093260201336,1.0,0.8157774938916796,0.029912542429396286,0.03634918509589034,0.011808997634765851,-0.29317905972404557,-0.3476117655034396,-0.2375276975891675,0.15005076550326416,0.12081423102658302,0.06612789232758452,0.09829791266197475,0.10556721132257975,0.11044847028070331,0.1236406272628185,0.5929307230069925,0.585900792998114,0.6600237064202014,0.6512377087777206
stringency_index,0.5958167184718732,0.700116873361476,0.6297705433489924,0.6997504742142981,0.8421787382096899,0.8157774938916796,1.0,0.05856036339775906,0.041373659621352095,0.079636247857351,-0.2645729270367623,-0.3277483348083973,-0.2040562830889318,0.24155582466466563,0.23318823306350106,0.06440199985510199,0.0787267168965438,0.09240373001154839,0.1020607745895595,0.11060972765339082,0.5713044812095762,0.5493480032346821,0.6728323319039287,0.6479724217905564
cci,0.09441280391551,0.04561839168875681,0.04580672021040724,0.1041968913601614,0.04140361444976767,0.029912542429396286,0.05856036339775906,1.0,0.9649047223150073,0.8673100571467102,0.8339122188170108,0.8056285964060632,0.808655155857349,0.22876780443713335,0.4970861399489788,0.9730847473661862,0.9454512657543859,0.924405538305063,0.9033675970137862,0.8855142346715047,0.0966090684867874,0.09705627434938709,0.10603023954486379,0.10598431726550722
cci_cur,0.15277514621395877,0.07455808285841574,0.07055683777804372,0.15159039567795712,0.04226225024289965,0.03634918509589034,0.041373659621352095,0.9649047223150073,1.0,0.706160305129583,0.740469398474508,0.7382661053354437,0.7013855797486245,0.10404674822427855,0.3991826089696021,0.9617581025647768,0.9521109126938416,0.9412458323718254,0.9299634683522546,0.9211673747364543,0.15632423700065823,0.15819977332287186,0.15631682283027842,0.15937536816278383
cci_exp,-0.03522705200545753,-0.018546015329534905,-0.010404155452165845,-0.006538881969896894,0.03140338381405991,0.011808997634765851,0.079636247857351,0.8673100571467102,0.706160305129583,1.0,0.8449502779791791,0.7728881362507948,0.8509139703680658,0.41953036422566703,0.5837195680176683,0.8007746079525258,0.7445927176217099,0.7084546968921351,0.6730848793590491,0.6415688585119635,-0.03602781496841831,-0.03836037531579842,-0.010555811755713369,-0.01648082311807043
umsent,-0.3296546418721559,-0.27964406603018277,-0.24890004568936672,-0.32688336068291474,-0.26299876406576256,-0.29317905972404557,-0.2645729270367623,0.8339122188170108,0.740469398474508,0.8449502779791791,1.0,0.9558421885295002,0.977017330673695,0.15575799937386886,0.3951924457085305,0.7987005463604235,0.7555362396924692,0.7235456695161314,0.6967063709283566,0.6774502705563106,-0.3262691842218139,-0.32343258201233127,-0.3250538870391604,-0.32463077581532923
umsent_cur,-0.3871456532171249,-0.3281609225360366,-0.2920729011033382,-0.39010585125312525,-0.3160106480095119,-0.3476117655034396,-0.3277483348083973,0.8056285964060632,0.7382661053354437,0.7728881362507948,0.9558421885295002,1.0,0.8712448322751906,0.1676166151070947,0.41576329873693246,0.7780034893450595,0.7445957923957471,0.7213721543741477,0.6976474791801179,0.6776973560021347,-0.3834720399661626,-0.3810813607622578,-0.3880336488963952,-0.38715033625140005
umsent_exp,-0.2697060318879692,-0.2289210316871915,-0.20372163265815485,-0.26285277820895064,-0.21000072169898293,-0.2375276975891675,-0.2040562830889318,0.808655155857349,0.7013855797486245,0.8509139703680658,0.977017330673695,0.8712448322751906,1.0,0.13857036522790678,0.35860658859699784,0.7698409836432958,0.721923846643041,0.6853082178619918,0.6577173172712393,0.6400419201225547,-0.26673461556748723,-0.2637076209954928,-0.26129937832308636,-0.2612399052051049
ism_man,0.253471119724226,0.24468815868040247,0.22984266972490308,0.2891697256543608,0.22323258146757985,0.15005076550326416,0.24155582466466563,0.22876780443713335,0.10404674822427855,0.41953036422566703,0.15575799937386886,0.1676166151070947,0.13857036522790678,1.0,0.7759587980490678,0.18436299746208193,0.13588511666283704,0.08972095175145424,0.04613234725740281,0.008797861618321067,0.24600058243146575,0.23775788413303772,0.28508354061848473,0.27841815619337706
ism_non,0.28073409571292507,0.2379396254448863,0.2082484274189536,0.32544826762527657,0.20016881374813705,0.12081423102658302,0.23318823306350106,0.4970861399489788,0.3991826089696021,0.5837195680176683,0.3951924457085305,0.41576329873693246,0.35860658859699784,0.7759587980490678,1.0,0.45318522172876397,0.39925781128009585,0.359653085736447,0.3252995147285323,0.2947283949015141,0.27991672141463214,0.2754138830189547,0.32470203265595393,0.31982256269523374
cci_lag1,0.09841648970077542,0.0602259825383947,0.05957565456257695,0.10487062524789113,0.04865320181736522,0.06612789232758452,0.06440199985510199,0.9730847473661862,0.9617581025647768,0.8007746079525258,0.7987005463604235,0.7780034893450595,0.7698409836432958,0.18436299746208193,0.45318522172876397,1.0,0.9732337336683505,0.9455339702487668,0.9245070500893902,0.9034905387308175,0.10004374218631779,0.10308882534633113,0.10811074572257383,0.11060305890734079
cci_lag2,0.10065617776477831,0.08014536009711952,0.07244812145219497,0.10402567507437302,0.08288874311578781,0.09829791266197475,0.0787267168965438,0.9454512657543859,0.9521109126938416,0.7445927176217099,0.7555362396924692,0.7445957923957471,0.721923846643041,0.13588511666283704,0.39925781128009585,0.9732337336683505,1.0,0.9731684018021582,0.9455179381064656,0.924539369127595,0.10052245206138419,0.10279550393266637,0.10567127423868133,0.10949148735919345
cci_lag3,0.09942709006345515,0.08431667068136946,0.07312428326880333,0.10221213436277633,0.10222937960488757,0.10556721132257975,0.09240373001154839,0.924405538305063,0.9412458323718254,0.7084546968921351,0.7235456695161314,0.7213721543741477,0.6853082178619918,0.08972095175145424,0.359653085736447,0.9455339702487668,0.9731684018021582,1.0,0.9732076651890663,0.9456176576232517,0.09889559298082506,0.09906508555587558,0.10153314521684426,0.1034767645376187
cci_lag4,0.0988218812514453,0.08138299536267263,0.07069667165132607,0.10201686589006363,0.09990983434729764,0.11044847028070331,0.1020607745895595,0.9033675970137862,0.9299634683522546,0.6730848793590491,0.6967063709283566,0.6976474791801179,0.6577173172712393,0.04613234725740281,0.3252995147285323,0.9245070500893902,0.9455179381064656,0.9732076651890663,1.0,0.9732563346412414,0.09843802280041056,0.09820859391678262,0.10034121491934453,0.09985109490614638
cci_lag5,0.09975274324913323,0.08959963120453893,0.07762537903187805,0.10321094766586128,0.10343765772337468,0.1236406272628185,0.11060972765339082,0.8855142346715047,0.9211673747364543,0.6415688585119635,0.6774502705563106,0.6776973560021347,0.6400419201225547,0.008797861618321067,0.2947283949015141,0.9034905387308175,0.924539369127595,0.9456176576232517,0.9732563346412414,1.0,0.09938695979929052,0.09938963141609054,0.10145866930348862,0.09998015933727464
total_cases_lag1,0.9956098280418109,0.6782649410974388,0.6130952985571145,0.9776828371760892,0.5970310758196626,0.5929307230069925,0.5713044812095762,0.0966090684867874,0.15632423700065823,-0.03602781496841831,-0.3262691842218139,-0.3834720399661626,-0.26673461556748723,0.24600058243146575,0.27991672141463214,0.10004374218631779,0.10052245206138419,0.09889559298082506,0.09843802280041056,0.09938695979929052,1.0,0.9950253473359936,0.9829739436122779,0.9848594902223824
total_cases_lag2,0.9878932650839247,0.6670496068659606,0.597710931102078,0.9694856656912016,0.5599520020632721,0.585900792998114,0.5493480032346821,0.09705627434938709,0.15819977332287186,-0.03836037531579842,-0.32343258201233127,-0.3810813607622578,-0.2637076209954928,0.23775788413303772,0.2754138830189547,0.10308882534633113,0.10279550393266637,0.09906508555587558,0.09820859391678262,0.09938963141609054,0.9950253473359936,1.0,0.9778251951039881,0.9826183562807176
total_deaths_lag1,0.9856988134013931,0.7422657518515072,0.6803475540633941,0.9986473646765492,0.668049926643859,0.6600237064202014,0.6728323319039287,0.10603023954486379,0.15631682283027842,-0.010555811755713369,-0.3250538870391604,-0.3880336488963952,-0.26129937832308636,0.28508354061848473,0.32470203265595393,0.10811074572257383,0.10567127423868133,0.10153314521684426,0.10034121491934453,0.10145866930348862,0.9829739436122779,0.9778251951039881,1.0,0.9986132254074939
total_deaths_lag2,0.9863821115538537,0.7366262430540861,0.6733573009677233,0.9951804232087917,0.6487329785725747,0.6512377087777206,0.6479724217905564,0.10598431726550722,0.15937536816278383,-0.01648082311807043,-0.32463077581532923,-0.38715033625140005,-0.2612399052051049,0.27841815619337706,0.31982256269523374,0.11060305890734079,0.10949148735919345,0.1034767645376187,0.09985109490614638,0.09998015933727464,0.9848594902223824,0.9826183562807176,0.9986132254074939,1.0
